GEMS Station Number,Historical GEMS Number,Local Station Number,Country Name,Water Type,Station Identifier,Station Narrative,Water Body Name,Main Basin,Upstream Basin Area,Elevation,Monitoring Type,Date Station Opened,Responsible Collection Agency,Latitude,Longitude,River Width,Discharge,Max. Depth,Lake Area,Lake Volume,Average Retention,Area of Aquifer,Depth of Impermeable Lining,Production Zone,Mean Abstraction Rate,Mean Abstraction Level
KEN00034,,1JD3,Kenya,River station,Yurith,,,NILE,,1656,IMPACT,NaT,,-0.47814,35.08298,,,,,,,,,,,
NLD00358,,NL38_ODE_AA_680,Netherlands (the),River station,AA VAN GEMERT TOT DEN BOSCH,,,RHINE-MEUSE,,6,TREND,NaT,European Environment Agency,51.648,5.4621,,,,,,,,,,,
KEN00033,,1JC13,Kenya,River station,Kimugu,,,NILE,,1992,IMPACT,NaT,,-0.36871,35.29764,,,,,,,,,,,
JPN00004,080004,,Japan,Groundwater station,Suginami Filtration Plant,"15 km west of Tokyo, 30 m west of Zempukuji Pond",,,,45.3,IMPACT,1932-03-15,National Institute for Environmental Studies - Center for Global Environment Research,35.725,139.5916667,,,,,,,16,15.8,11.8,6500,39.3
KEN00032,,1HE1,Kenya,River station,Awach Tende,,,NILE,,1149,IMPACT,NaT,,-0.46819,34.54956,,,,,,,,,,,
NLD00359,,NL38_ODRONKA820,Netherlands (the),Lake station,DRONGELENS KANAAL,,,RHINE-MEUSE,,1,TREND,NaT,European Environment Agency,51.713,5.0742,,,,,,,,,,,
JPN00003,080003,,Japan,River station,Tone River - at Tone-Ozeki,"60 km northwest by north of Tokyo, Musashi Channel at 200 M from Tone River",,TONE,6010,22.4,IMPACT,1964-04-24,National Institute for Environmental Studies - Center for Global Environment Research,36.18055556,139.475,500,144,,,,,,,,,
KEN00031,,1HD4,Kenya,River station,Awach Kibuon,,,NILE,,1160,IMPACT,NaT,,-0.37964,34.63544,,,,,,,,,,,
NLD00360,,NL38_OGOORLO520,Netherlands (the),River station,GOORLOOP TOT AAN WILHELMINAKANAAL,,,RHINE-MEUSE,,15,TREND,NaT,European Environment Agency,51.5024,5.6128,,,,,,,,,,,
JPN00002,080002,,Japan,Groundwater station,Urawa Purification Plant,"20 km northwest by north of Tokyo, Kanto loam strudatum",,,,11,BASELINE,1966-01-06,National Institute for Environmental Studies - Center for Global Environment Research,35.85555556,139.6611111,,,,,,,,267.4,46.9,1600,
